id,site_id,title,seller,price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,accepts_mercadopago,installments,address,shipping,seller_address,attributes,differential_pricing,original_price,category_id,official_store_id,catalog_product_id,tags,index_character,smaller_title
MLA817802367,MLA,Chocolate  Banco De Alimentos - Prod Virtual Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",127,ARS,5000,5,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817802367-chocolate-banco-de-alimentos-prod-virtual-donacion-real-_JM,http://mla-s2-p.mlstatic.com/713105-MLA32868652920_112019-I.jpg,True,"{'quantity': 6, 'amount': 21.17, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'id': 'BRAND', 'name': 'Marca', 'value_name': 'Banco de Alimentos', 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'source': 8342579661593500, 'value_id': None, 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'name': 'Condición del ítem', 'value_id': '2230284', 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS', 'source': 8342579661593500}]",{'id': 33678187},,MLA376491,1871,,"['brand_verified', 'good_quality_picture', 'incomplete_technical_specs', 'immediate_payment']",10,Chocolate
MLA817793200,MLA,Agua Banco De Alimentos- Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",76,ARS,500,50,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817793200-agua-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s1-p.mlstatic.com/688903-MLA32868479322_112019-I.jpg,True,"{'quantity': 6, 'amount': 12.67, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'id': 'BRAND', 'value_id': None, 'value_struct': None, 'values': [{'struct': None, 'source': 8342579661593500, 'id': None, 'name': 'Banco de Alimentos'}], 'attribute_group_name': 'Otros', 'name': 'Marca', 'value_name': 'Banco de Alimentos'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 8342579661593500}], 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'value_struct': None, 'attribute_group_id': 'OTHERS'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",4,Agua
MLA817798362,MLA,Leche Banco De Alimentos- Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",77,ARS,5000,50,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817798362-leche-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s1-p.mlstatic.com/928256-MLA32868543646_112019-I.jpg,True,"{'quantity': 6, 'amount': 12.83, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'name': 'Marca', 'value_id': None, 'value_name': 'Banco de Alimentos', 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'id': 'BRAND', 'value_struct': None, 'attribute_group_name': 'Otros'}, {'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'values': [{'struct': None, 'source': 8342579661593500, 'id': '2230284', 'name': 'Nuevo'}], 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'value_id': '2230284', 'value_name': 'Nuevo'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",5,Leche
MLA817800724,MLA,Yogur Banco De Alimentos- Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",60,ARS,5000,25,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817800724-yogur-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s1-p.mlstatic.com/716295-MLA32868581580_112019-I.jpg,True,"{'quantity': 6, 'amount': 10, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'value_struct': None, 'source': 8342579661593500, 'id': 'BRAND', 'name': 'Marca', 'value_id': None, 'attribute_group_name': 'Otros', 'value_name': 'Banco de Alimentos', 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS'}, {'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'value_id': '2230284', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 8342579661593500, 'id': '2230284'}], 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_name': 'Nuevo'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",5,Yogur
MLA817804577,MLA,Canasta Banco De Alimentos Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",1962,ARS,5000,25,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817804577-canasta-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s2-p.mlstatic.com/649511-MLA32395174778_102019-I.jpg,True,"{'quantity': 6, 'amount': 327, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'attribute_group_name': 'Otros', 'id': 'BRAND', 'name': 'Marca', 'value_name': 'Banco de Alimentos', 'value_struct': None, 'values': [{'struct': None, 'source': 8342579661593500, 'id': None, 'name': 'Banco de Alimentos'}], 'attribute_group_id': 'OTHERS', 'value_id': None, 'source': 8342579661593500}, {'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 8342579661593500}], 'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'value_name': 'Nuevo'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",7,Canasta
MLA817805783,MLA,  Combo- Banco De Alimentos Productos Virtuales- Donación,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",261,ARS,5000,25,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817805783-combo-banco-de-alimentos-productos-virtuales-donacion-_JM,http://mla-s2-p.mlstatic.com/917173-MLA32992706642_112019-I.jpg,True,"{'quantity': 6, 'amount': 43.5, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'attribute_group_name': 'Otros', 'source': 8342579661593500, 'id': 'BRAND', 'values': [{'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500, 'id': None}], 'attribute_group_id': 'OTHERS', 'value_struct': None, 'name': 'Marca', 'value_id': None, 'value_name': 'Banco de Alimentos'}, {'name': 'Condición del ítem', 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'source': 8342579661593500, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'value_id': '2230284'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",8,Combo5783
MLA817800499,MLA,Fideos Banco De Alimentos- Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",94,ARS,5000,25,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817800499-fideos-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s2-p.mlstatic.com/683340-MLA32868566796_112019-I.jpg,True,"{'quantity': 6, 'amount': 15.67, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'attribute_group_name': 'Otros', 'id': 'BRAND', 'name': 'Marca', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'value_id': None, 'value_name': 'Banco de Alimentos', 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'source': 8342579661593500}, {'attribute_group_name': 'Otros', 'value_id': '2230284', 'attribute_group_id': 'OTHERS', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'struct': None, 'source': 8342579661593500, 'id': '2230284', 'name': 'Nuevo'}], 'source': 8342579661593500, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",6,Fideos
MLA817805141,MLA,Pack De Aguas- Banco De Alimentos Productos Virtuales,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",211,ARS,5000,5,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817805141-pack-de-aguas-banco-de-alimentos-productos-virtuales-_JM,http://mla-s2-p.mlstatic.com/754601-MLA32396043655_102019-I.jpg,True,"{'quantity': 6, 'amount': 35.17, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'id': 'BRAND', 'value_id': None, 'value_name': 'Banco de Alimentos', 'source': 8342579661593500, 'name': 'Marca', 'value_struct': None, 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'name': 'Condición del ítem', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 8342579661593500, 'id': '2230284'}], 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS'}]",{'id': 33678187},,MLA418070,1871,,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment']",14,Pack De Aguas
MLA817806382,MLA, Combo - Banco De Alimentos Productos Virtuales- Donación,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",723,ARS,5000,5,buy_it_now,gold_pro,2039-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-817806382-combo-banco-de-alimentos-productos-virtuales-donacion-_JM,http://mla-s1-p.mlstatic.com/934219-MLA32992745162_112019-I.jpg,True,"{'quantity': 6, 'amount': 120.5, 'rate': 0, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'id': 'BRAND', 'name': 'Marca', 'value_struct': None, 'values': [{'id': None, 'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'value_id': None, 'value_name': 'Banco de Alimentos', 'attribute_group_name': 'Otros'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 8342579661593500, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 8342579661593500, 'name': 'Condición del ítem', 'id': 'ITEM_CONDITION'}]",{'id': 33678187},,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",8,Combo6382
MLA814260070,MLA,Atún Banco De Alimentos- Productos Virtuales Donación Real,"{'id': 467409779, 'permalink': 'http://perfil.mercadolibre.com.ar/FU3651752', 'power_seller_status': None, 'car_dealer': False, 'real_estate_agency': False, 'tags': [], 'nickname': 'FU3651752'}",135,ARS,5000,5,buy_it_now,gold_special,2039-09-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-814260070-atun-banco-de-alimentos-productos-virtuales-donacion-real-_JM,http://mla-s1-p.mlstatic.com/866967-MLA32868513839_112019-I.jpg,True,"{'quantity': 12, 'amount': 18.42, 'rate': 63.77, 'currency_id': 'ARS'}","{'state_id': 'AR-B', 'state_name': 'Buenos Aires', 'city_id': None, 'city_name': 'San Martin'}","{'free_shipping': False, 'mode': 'not_specified', 'tags': [], 'logistic_type': 'not_specified', 'store_pick_up': False}","{'id': '', 'comment': '', 'address_line': '', 'zip_code': '', 'country': {'id': 'AR', 'name': 'Argentina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'city': {'id': None, 'name': 'San Martin'}, 'latitude': '', 'longitude': ''}","[{'value_id': None, 'value_name': 'Banco de Alimentos', 'value_struct': None, 'attribute_group_name': 'Otros', 'id': 'BRAND', 'values': [{'name': 'Banco de Alimentos', 'struct': None, 'source': 8342579661593500, 'id': None}], 'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'name': 'Marca'}, {'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 8342579661593500}], 'attribute_group_id': 'OTHERS', 'source': 8342579661593500, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros'}]",,,MLA418070,1871,,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",4,Atún
